sku,units_per_case
SMPLLAVSLT,1
SMPLSOAP,1
SMPLTEA,1
SOAPTRIO,1
SPNGLNCH24,1
STNLYRCH,1
STRCHEXP,1
TASTE,1
TASTE1,1
TASTE150,1
TASTE95,1
TASTECOMP,1
TASTLOUNGE,1
TEA1,1
TEAGFTST,1
TEAPOUCH,1
TENMARKHC,1
TEST123,1
TEST132,1
TISANE,1
TISPLWPCH,1
TISSAMPLE,1
TOTE,1
TRADE,1
TRANSCEND,1
TRUFFLNCH,1
TYCARD,1
U116070817,6
VOHC2024,1
WCBROCHURE,1
WELLNESS,1
WHTBTL,1
WINEBAG,1
WINEBAGBLK,1
WINEBAGTAN,1
WINEDINE23,1
WINEKEY,1
WINEKEYGFT,1
WINEOPENER,1
WINESTOPPR,1
WOOLBLKT,1
WOOLBLNKT,1
WOOLCSTR,1
WOOLPLMAT,1
WOOLTR10,1
WOOLTR5,1
WSTURGEON,1
YELLOWCSTR,1
YELLOWTR10,1
YELLOWTR5,1
